x,l
http://vocab.getty.edu/aat/300404859,animal portraits
http://vocab.getty.edu/aat/300265043,banquet pieces
http://vocab.getty.edu/aat/300438468,eyedazzlers (Navajo textiles)
http://vocab.getty.edu/aat/300185648,art pottery
http://vocab.getty.edu/aat/300256756,faïence parlante
http://vocab.getty.edu/aat/300254696,black basaltes
http://vocab.getty.edu/aat/300265324,Anglo-Irish glass
http://vocab.getty.edu/aat/300265614,portable iconostases
http://vocab.getty.edu/aat/300010681,carreaux (decorative glass lights)
http://vocab.getty.edu/aat/300010668,faience (earthenware)
http://vocab.getty.edu/aat/300420288,architect's model
http://vocab.getty.edu/aat/300423127,christmas stocking
http://vocab.getty.edu/aat/300343592,full-length figures
http://vocab.getty.edu/aat/300028682,video recordings (physical artifacts)
http://vocab.getty.edu/aat/300417944,Strasburg lily (watermark)
http://vocab.getty.edu/aat/300404888,rush prints (motion pictures)
http://vocab.getty.edu/aat/300410250,edible monuments
http://vocab.getty.edu/aat/300410272,pieces (graffiti art)
http://vocab.getty.edu/aat/300411664,fly-throughs (visual works)
http://vocab.getty.edu/aat/300262951,mummies (bodies)
http://vocab.getty.edu/aat/300404029,destroyed works
http://vocab.getty.edu/aat/300179422,pendants (companion pieces)
http://vocab.getty.edu/aat/300083008,pyxes
http://vocab.getty.edu/aat/300299269,eucharistic tubes
http://vocab.getty.edu/aat/300264820,crèches (visual works)
http://vocab.getty.edu/aat/300386847,fabric art (visual works)
http://vocab.getty.edu/aat/300387248,eggshell china (visual works)
http://vocab.getty.edu/aat/300386874,porcelain (visual works)
http://vocab.getty.edu/aat/300301423,eastern terra sigillata
http://vocab.getty.edu/aat/300387076,Agano ware
http://vocab.getty.edu/aat/300266233,dzi beads
http://vocab.getty.edu/aat/300411655,construction models
http://vocab.getty.edu/aat/300400637,grooved rocks
http://vocab.getty.edu/aat/300265621,inkjet prints
http://vocab.getty.edu/aat/300301397,African terra sigillata A1
http://vocab.getty.edu/aat/300301428,late Italic terra sigillata
http://vocab.getty.edu/aat/300387475,eastern sigillata A
http://vocab.getty.edu/aat/300266066,bishop's rings
http://vocab.getty.edu/aat/300266190,pixels
http://vocab.getty.edu/aat/300438568,su-chus
http://vocab.getty.edu/aat/300264697,Burano lace
http://vocab.getty.edu/aat/300041314,artists' proofs
http://vocab.getty.edu/aat/300266212,malas
http://vocab.getty.edu/aat/300264688,Digital Betacam (TM)
http://vocab.getty.edu/aat/300264772,rongo-rongo
http://vocab.getty.edu/aat/300184745,figureheads (prow ornaments)
http://vocab.getty.edu/aat/300265081,lizhou
http://vocab.getty.edu/aat/300447185,ēkamukhaliṅga
http://vocab.getty.edu/aat/300266097,Iris prints
http://vocab.getty.edu/aat/300264675,found footage
http://vocab.getty.edu/aat/300410317,animated film
http://vocab.getty.edu/aat/300265173,Coromandel lacquer (ware)
http://vocab.getty.edu/aat/300264695,broderie anglaise
http://vocab.getty.edu/aat/300264032,petit point
http://vocab.getty.edu/aat/300227782,broderie perse
http://vocab.getty.edu/aat/300264038,crochet (needlework)
http://vocab.getty.edu/aat/300400589,Lier lace
http://vocab.getty.edu/aat/300410275,top-to-bottoms
http://vocab.getty.edu/aat/300026456,Biblia pauperum
