x,l
http://vocab.getty.edu/aat/300186755,elem
http://vocab.getty.edu/aat/300190947,aerophone components
http://vocab.getty.edu/aat/300226835,bases (skirts)
http://vocab.getty.edu/aat/300036863,lance rests
http://vocab.getty.edu/aat/300011794,albumin (general protein)
http://vocab.getty.edu/aat/300207256,range poles
http://vocab.getty.edu/aat/300255937,ossein
http://vocab.getty.edu/aat/300197210,covers (closures)
http://vocab.getty.edu/aat/300420961,bottle caps
http://vocab.getty.edu/aat/300395582,ornamental corks
http://vocab.getty.edu/aat/300213700,bocals (crooks)
http://vocab.getty.edu/aat/300203717,lower bevors
http://vocab.getty.edu/aat/300203647,going trains
http://vocab.getty.edu/aat/300227026,barbecue grills
http://vocab.getty.edu/aat/300225141,scent-bottle percussion locks
http://vocab.getty.edu/aat/300204037,common papers
http://vocab.getty.edu/aat/300037486,flock papers
http://vocab.getty.edu/aat/300204045,ceiling papers
http://vocab.getty.edu/aat/300204154,Anaglypta
http://vocab.getty.edu/aat/300204165,dust ruffles
http://vocab.getty.edu/aat/300204060,embossed wall coverings
http://vocab.getty.edu/aat/300036777,cowters
http://vocab.getty.edu/aat/300230291,cross guards
http://vocab.getty.edu/aat/300387328,<components for controlled vocabularies>
http://vocab.getty.edu/aat/300194373,braille
http://vocab.getty.edu/aat/300200668,book hands
http://vocab.getty.edu/aat/300225004,<breech mechanisms and breech mechanism components>
http://vocab.getty.edu/aat/300208615,Arabic scripts
http://vocab.getty.edu/aat/300211038,civilité (typeface)
http://vocab.getty.edu/aat/300263630,split boards
http://vocab.getty.edu/aat/300198388,bas-de-pages
http://vocab.getty.edu/aat/300203210,beaks (container component)
http://vocab.getty.edu/aat/300200001,fraktur (typefaces)
http://vocab.getty.edu/aat/300201815,<scripts by form>
http://vocab.getty.edu/aat/300195173,headlines
http://vocab.getty.edu/aat/300264213,pamphlet binders
http://vocab.getty.edu/aat/300226824,arming doublets
http://vocab.getty.edu/aat/300233387,air traps (decorative glass components)
http://vocab.getty.edu/aat/300203608,mereses
http://vocab.getty.edu/aat/300203439,caps (closures)
http://vocab.getty.edu/aat/300203289,bridge spouts
http://vocab.getty.edu/aat/300041610,<clock and watch components>
http://vocab.getty.edu/aat/300254280,coin weights
http://vocab.getty.edu/aat/300410450,keytars
http://vocab.getty.edu/aat/300197628,anchor escapements
http://vocab.getty.edu/aat/300197871,bed rugs
http://vocab.getty.edu/aat/300195796,azimuth circles
http://vocab.getty.edu/aat/300202350,hairsprings
http://vocab.getty.edu/aat/300195832,beams (balance components)
http://vocab.getty.edu/aat/300195856,justification (typography)
http://vocab.getty.edu/aat/300188990,carpet pages
http://vocab.getty.edu/aat/300055023,bindings (gathered matter components)
http://vocab.getty.edu/aat/300261522,back linings (binding components)
http://vocab.getty.edu/aat/300438798,glyphs (marks)
http://vocab.getty.edu/aat/300412189,emoji
http://vocab.getty.edu/aat/300194309,Arabic numerals
http://vocab.getty.edu/aat/300200661,black letter (typefaces)
http://vocab.getty.edu/aat/300255252,swash (typeface)
http://vocab.getty.edu/aat/300438799,graphemes
http://vocab.getty.edu/aat/300209377,Tironian notes
http://vocab.getty.edu/aat/300252610,caption titles
http://vocab.getty.edu/aat/300195162,gutters (margins)
http://vocab.getty.edu/aat/300261765,double headbands
http://vocab.getty.edu/aat/300417230,binder's titles
http://vocab.getty.edu/aat/300210195,bastarda
http://vocab.getty.edu/aat/300191893,eggshell (animal material)
http://vocab.getty.edu/aat/300191778,skeletons (animal components)
http://vocab.getty.edu/aat/300386792,femurs
http://vocab.getty.edu/aat/300191879,dental enamel (material)
http://vocab.getty.edu/aat/300011857,ivory (material)
http://vocab.getty.edu/aat/300264807,emu eggshell
http://vocab.getty.edu/aat/300254200,awnings
http://vocab.getty.edu/aat/300014819,bone glue
http://vocab.getty.edu/aat/300380051,chitosan
http://vocab.getty.edu/aat/300193002,medulla
http://vocab.getty.edu/aat/300233843,column bases
http://vocab.getty.edu/aat/300082428,griffes
http://vocab.getty.edu/aat/300011812,gelatin
http://vocab.getty.edu/aat/300001780,architraves (entablature)
http://vocab.getty.edu/aat/300001783,fascias (architrave components)
http://vocab.getty.edu/aat/300190692,backs (object portions)
http://vocab.getty.edu/aat/300078820,reverses
http://vocab.getty.edu/aat/300078814,obverses
http://vocab.getty.edu/aat/300446507,asra
http://vocab.getty.edu/aat/300343364,chief (object portions)
http://vocab.getty.edu/aat/300041253,trestles (furniture components)
http://vocab.getty.edu/aat/300042492,barrels (aerophone components)
http://vocab.getty.edu/aat/300001909,Howe trusses
http://vocab.getty.edu/aat/300041845,drum components
http://vocab.getty.edu/aat/300215879,drone strings
http://vocab.getty.edu/aat/300186876,<rugs by form>
http://vocab.getty.edu/aat/300185933,small pattern Holbeins
http://vocab.getty.edu/aat/300448975,artificial turf
http://vocab.getty.edu/aat/300186842,doormats
http://vocab.getty.edu/aat/300386043,curtain components
http://vocab.getty.edu/aat/300186765,asymmetrical knots
http://vocab.getty.edu/aat/300233966,balisht
http://vocab.getty.edu/aat/300229481,odjakliks
http://vocab.getty.edu/aat/300186877,area rugs
http://vocab.getty.edu/aat/300186885,wall-to-wall carpeting
http://vocab.getty.edu/aat/300187230,coupled-column rugs
http://vocab.getty.edu/aat/300187008,Abnakee rugs
http://vocab.getty.edu/aat/300428632,braided rugs
http://vocab.getty.edu/aat/300193771,art squares
http://vocab.getty.edu/aat/300187132,Axminster carpets
http://vocab.getty.edu/aat/300187165,Saxonies
http://vocab.getty.edu/aat/300193779,body Brussels (carpets)
http://vocab.getty.edu/aat/300187327,velvet carpets (tapestry carpets)
http://vocab.getty.edu/aat/300187048,animal carpets
http://vocab.getty.edu/aat/300003990,hearths
http://vocab.getty.edu/aat/300052384,back hearths
http://vocab.getty.edu/aat/300198210,Coronation carpets
